State,District,Year,Month,Insolation (in kWh/m²)
Rajasthan,Jaisalmer,2024,January,91
Rajasthan,Barmer,2024,January,99
Punjab,Gurdaspur,2024,January,69
Gujarat,Gandhinagar,2024,January,61
Rajasthan,Bikaner,2024,January,81
Punjab,Amritsar,2024,January,63
Punjab,Firozpur,2024,January,69
Punjab,Faridkot,2024,January,64
Punjab,Bathinda,2024,January,62
Rajasthan,Churu,2024,January,78
Punjab,Hoshiarpur,2024,January,72
Punjab,Kapurthala,2024,January,68
Punjab,Jalandhar,2024,January,69
Punjab,Ludhiana,2024,January,68
Punjab,Sangrur,2024,January,63
Haryana,Sirsa,2024,January,64
Haryana,Hisar,2024,January,60
Rajasthan,Jhunjhunun,2024,January,79
Himachal Pradesh,Chamba,2024,January,77
Himachal Pradesh,Lahul & Spiti,2024,January,82
Himachal Pradesh,Mandi,2024,January,91
Himachal Pradesh,Hamirpur,2024,January,88
Himachal Pradesh,Una,2024,January,79
Himachal Pradesh,Bilaspur,2024,January,89
Punjab,Rupnagar,2024,January,77
Haryana,Ambala,2024,January,70
Punjab,Patiala,2024,January,62
Chandigarh,Chandigarh,2024,January,77
Haryana,Karnal,2024,January,64
Haryana,Jind,2024,January,57
Haryana,Kaithal,2024,January,67
Haryana,Rohtak,2024,January,57
Uttarakhand,Bageshwar,2024,January,100
Uttarakhand,Udham Singh Nagar,2024,January,69
Uttar Pradesh,Amroha,2024,January,57
Haryana,Rewari,2024,January,61
Jharkhand,Bokaro,2024,January,93
Tamil Nadu,Thiruvarur,2024,January,141
Haryana,Bhiwani,2024,January,56
Haryana,Mahendragarh,2024,January,69
Himachal Pradesh,Kullu,2024,January,86
Himachal Pradesh,Shimla,2024,January,82
Himachal Pradesh,Solan,2024,January,89
Himachal Pradesh,Sirmaur,2024,January,74
Uttar Pradesh,Saharanpur,2024,January,62
Uttar Pradesh,Muzaffarnagar,2024,January,61
Delhi,Central,2024,January,64
Uttar Pradesh,Meerut,2024,January,60
Haryana,Sonipat,2024,January,57
Uttar Pradesh,Ghaziabad,2024,January,62
Haryana,Gurugram,2024,January,62
Uttar Pradesh,Bulandshahr,2024,January,60
Haryana,Faridabad,2024,January,62
Himachal Pradesh,Kinnaur,2024,January,90
Uttarakhand,Uttarkashi,2024,January,103
Uttarakhand,Dehradun,2024,January,88
Uttarakhand,Pauri Garhwal,2024,January,100
Uttarakhand,Tehri Garhwal,2024,January,99
Uttarakhand,Haridwar,2024,January,79
Uttar Pradesh,Bijnor,2024,January,68
Uttar Pradesh,Moradabad,2024,January,58
Uttarakhand,Chamoli,2024,January,102
Uttarakhand,Almora,2024,January,96
Uttarakhand,Nainital,2024,January,82
Uttar Pradesh,Rampur,2024,January,63
Uttar Pradesh,Pilibhit,2024,January,65
Uttar Pradesh,Bareilly,2024,January,60
Uttar Pradesh,Budaun,2024,January,56
Uttarakhand,Pithoragarh,2024,January,101
Gujarat,Kachchh,2024,January,115
Gujarat,Jamnagar,2024,January,121
Gujarat,Rajkot,2024,January,122
Gujarat,Junagadh,2024,January,122
Dadra and Nagar Haveli and Daman and Diu,Diu,2024,January,121
Gujarat,Surendranagar,2024,January,112
Gujarat,Amreli,2024,January,118
Rajasthan,Jalor,2024,January,108
Rajasthan,Sirohi,2024,January,110
Rajasthan,Nagaur,2024,January,88
Rajasthan,Jodhpur,2024,January,98
Rajasthan,Pali,2024,January,102
Rajasthan,Udaipur,2024,January,108
Rajasthan,Ajmer,2024,January,90
